"id","binID","binClearedTime","binFillingLevel","observationDateTime","binFullnessThreshold","license_plate"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5059","2021-07-15T08:04:00+05:30","0","2021-07-15T08:04:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5060","2021-01-03T00:24:00+05:30","0","2021-01-03T00:24:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5061","2021-02-04T08:51:00+05:30","0","2021-02-04T08:51:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5062","2021-08-21T21:56:00+05:30","0","2021-08-21T21:56:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5063","2021-01-05T22:17:00+05:30","0","2021-01-05T22:17:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5064","2021-09-02T09:36:00+05:30","0","2021-09-02T09:36:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5068","2021-07-22T10:13:00+05:30","0","2021-07-22T10:13:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5069","2021-07-21T17:18:00+05:30","0","2021-07-21T17:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5070","2021-07-04T11:47:00+05:30","0","2021-07-04T11:47:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5071","2021-09-09T07:24:00+05:30","0","2021-09-09T07:24:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5072","2021-12-09T00:29:00+05:30","0","2021-12-09T00:29:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5073","2021-07-29T14:27:00+05:30","0","2021-07-29T14:27:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5074","2021-07-30T08:24:00+05:30","0","2021-07-30T08:24:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5075","2020-12-26T00:37:00+05:30","0","2020-12-26T00:37:00+05:30","80","UP65HT3951"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5076","2021-05-30T10:02:00+05:30","0","2021-05-30T10:02:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5077","2021-08-04T10:18:00+05:30","0","2021-08-04T10:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5078","2021-07-22T10:18:00+05:30","0","2021-07-22T10:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5080","2021-09-04T13:23:00+05:30","0","2021-09-04T13:23:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5081","2021-11-07T22:45:00+05:30","0","2021-11-07T22:45:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5083","2021-07-23T10:51:00+05:30","0","2021-07-23T10:51:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5085","2021-08-02T10:38:00+05:30","0","2021-08-02T10:38:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5086","2022-01-16T22:12:00+05:30","0","2022-01-16T22:12:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5087","2021-10-20T23:14:00+05:30","0","2021-10-20T23:14:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5088","2021-03-30T11:57:00+05:30","0","2021-03-30T11:57:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5094","2021-09-02T08:51:00+05:30","0","2021-09-02T08:51:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5095","2022-01-08T23:14:00+05:30","0","2022-01-08T23:14:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5096","2021-09-04T12:59:00+05:30","0","2021-09-04T12:59:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5097","2021-05-30T09:32:00+05:30","0","2021-05-30T09:32:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5101","2022-01-16T22:52:00+05:30","0","2022-01-16T22:52:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5102","2021-09-09T08:11:00+05:30","0","2021-09-09T08:11:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5103","2021-07-22T09:18:00+05:30","0","2021-07-22T09:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5104","2021-08-21T22:13:00+05:30","0","2021-08-21T22:13:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5106","2021-07-23T10:02:00+05:30","0","2021-07-23T10:02:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5110","2020-11-05T13:03:00+05:30","79","2020-11-13T00:13:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","55","2021-07-19T16:09:00+05:30","0","2021-07-19T16:09:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","60","2021-07-15T09:34:00+05:30","0","2021-07-15T09:34:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","67","2020-09-23T10:24:00+05:30","0","2020-09-23T10:24:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","671","2020-10-10T07:57:00+05:30","0","2020-10-10T07:57:00+05:30","80","UP65HT3956"
